Product Code,Name,Brand,Category Hierarchy,Stock,Price,Size,EAN,SKU
BP_101499171,Eau de parfum,GIVENCHY,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,76.0,35ML,3274872372139,101499171
BP_100017318,Eau de parfum,LancÃ´me,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,177.99,75ML,3147758235500,100017320
BP_102282125,LumiÃ¨re - Eau de Toilette Vaporisateur,Yves Saint Laurent,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,80.51,50ML,3614273346757,102282125
BP_102924159,Eau de toilette - rechargeable,Guerlain,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,118.99,75ML,3346470148048,102924159
BP_102489193,Eau de parfum - recharge,Armani,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,101.49,100ML,3614273875752,102489193
BP_102496351,eau de parfum - rechargeable,Mugler,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,97.99,25ML,3614273772488,102496351
BP_100226411,Eau de Toilette,Yves Saint Laurent,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,138.0,80ML,3365440037045,100226411
BP_100074541,Escale Ã  Portofino Eau de Toilette,DIOR,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,117.99,75ML,3348900863293,100074541
BP_100041889,Eau de parfum,DOLCE&GABBANA,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,49.0,30ML,8057971180486,100043561
BP_102582427,Eau de parfum,GIVENCHY,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,126.99,50ML,3274872456679,102582427
BP_100041409,Eau de toilette,Guerlain,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,143.99,75ML,3346470132900,102111553
BP_102849128,Eau de parfum,Yves Saint Laurent,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,83.99,30ML,3614274076585,102849128
BP_101948175,Eau de Parfum Rechargeable,Armani,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,84.99,30ML,3614272907652,101948175
BP_100007287,Eau de Toilette Vaporisateur,Clinique,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,84.99,45mL,0020714147631,100007287
BP_101950208,"Eau de parfum infinissime - notes hespÃ©ridÃ©es, fleuries et boisÃ©es",DIOR,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,127.99,50ML,3348901521406,101950208
BP_101374212,Eau de Parfum,GIVENCHY,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,145.99,75ML,3274872369498,101374191
BP_100017356,Eau de toilette,LancÃ´me,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,84.0,75ML,3147758155358,100017355
BP_100005182,EAU DE PARFUM VAPORISATEUR,CHANEL,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,107.99,35ML,3145891134209,100984107
BP_101724884,Eau de Parfum Femme - Florale & ChyprÃ©e,LancÃ´me,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,68.0,25ML,3614272639638,101724884
BP_101899140,CrÃ¨me mains,Kenzo,Parfum/Parfum Femme/Produit complÃ©mentaire/undefined,inStock,19.99,20ML,3274872391666,101899140
BP_101065090,Eau de Parfum,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,90.99,30ML,3346470131385,101065090
BP_102293318,Pamplelune,Guerlain,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,116.99,75ML,3346470144002,102293318
BP_101902484,Mandarin Blossom - Eau de Toilette,Elizabeth Arden,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,40.59,100ML,Non spÃ©cifiÃ©,101902484
BP_102130092,Eau de toilette,VERSACE,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,72.99,30ML,8011003858538,102130092
BP_102924132,Eau de parfum - rechargeable,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,136.99,75ML,3346470148079,102924132
BP_102599114,Eau de parfum - rechargeable,Jean Paul Gaultier,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,78.0,30ML,8435415076814,102599114
BP_101191168,Eau de parfum,Jean Paul Gaultier,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,68.0,30ML,8435415059084,101191168
BP_102628245,Brume parfumÃ©e,Elizabeth Arden,Parfum/Parfum Femme/Produit complÃ©mentaire/undefined,inStock,14.99,236ML,0085805554927,102628245
BP_101736383,Eau de Parfum Pour Elle Floral AmbrÃ© BoisÃ©,Valentino,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,90.99,30ML,3614272761421,101736383
